type,sensor,value,timestamp
"watt","sumPerDay",15576,1432850674
"watt","sumPerDay",14040,1432936932
"watt","sumPerDay",17568,1433023208
"watt","sumPerDay",12048,1433109622
"watt","sumPerDay",11544,1433196178
"watt","sumPerDay",14184,1433282487
"watt","sumPerDay",11592,1433368916
"watt","sumPerDay",11088,1433455372
"watt","sumPerDay",17088,1433541672
"watt","sumPerDay",16272,1433628007
"watt","sumPerDay",16608,1433714412
"watt","sumPerDay",13872,1433800895
"watt","sumPerDay",14112,1433887268
"watt","sumPerDay",11424,1433973626
"watt","sumPerDay",15672,1434060016
"watt","sumPerDay",10056,1434146410
"watt","sumPerDay",13464,1434232902
"watt","sumPerDay",17208,1434319233
"watt","sumPerDay",12024,1434405631
"watt","sumPerDay",8856,1434492103
"watt","sumPerDay",15048,1434578409
"watt","sumPerDay",10800,1434664863
"watt","sumPerDay",13536,1434751283
"watt","sumPerDay",17472,1434837655
"watt","sumPerDay",12600,1434924098
"watt","sumPerDay",15072,1435010409
"watt","sumPerDay",13440,1435096824
"watt","sumPerDay",12000,1435183309
"watt","sumPerDay",12072,1435269600
"watt","sumPerDay",18096,1435356008
"watt","sumPerDay",19416,1435442479
"watt","sumPerDay",19152,1435528822
"watt","sumPerDay",13200,1435615222
"watt","sumPerDay",12456,1435701638
"watt","sumPerDay",12432,1435788070
"watt","sumPerDay",14136,1435874408
"watt","sumPerDay",10872,1435960841
"watt","sumPerDay",14832,1436047233
"watt","sumPerDay",14195.1722084,1436133605
"watt","sumPerDay",11242.1435342,1436220005
"watt","sumPerDay",11087.2835821,1436306404
"watt","meanPerHour",475,1405191620
"watt","meanPerHour",269,1405195214
"watt","meanPerHour",1400,1405198823
"watt","meanPerHour",2486,1405202802
"watt","meanPerHour",2483,1405206000
"watt","meanPerHour",2009,1405209652
"watt","meanPerHour",168,1405213206
"watt","meanPerHour",165,1405216809
"watt","meanPerHour",172,1405220455
"watt","meanPerHour",177,1405224023
"watt","meanPerHour",483,1405227701
"watt","meanPerHour",637,1405231239
"watt","meanPerHour",227,1405234853
"watt","meanPerHour",250,1405238440
"watt","meanPerHour",840,1405242030
"watt","meanPerHour",622,1405245622
"watt","meanPerHour",1027,1405249209
"watt","meanPerHour",909,1405252812
"watt","meanPerHour",324,1405256482
"watt","meanPerHour",196,1405260030
"watt","meanPerHour",177,1405263621
"watt","meanPerHour",172,1405267248
"watt","meanPerHour",229,1405270851
"watt","meanPerHour",221,1405274407
"watt","meanPerHour",202,1405278003
"watt","meanPerHour",210,1405281624
"watt","meanPerHour",1218,1405285276
"watt","meanPerHour",2343,1405288924
"watt","meanPerHour",2363,1405292481
"watt","meanPerHour",2391,1405296039
"watt","meanPerHour",618,1405299622
"watt","meanPerHour",167,1405303206
"watt","meanPerHour",180,1405306835
"watt","meanPerHour",173,1405310415
"watt","meanPerHour",162,1405314021
"watt","meanPerHour",165,1405317664
"watt","meanPerHour",281,1405321227
"watt","meanPerHour",228,1405324815
"watt","meanPerHour",298,1405328440
"watt","meanPerHour",183,1405332027
"watt","meanPerHour",178,1405335669
"watt","meanPerHour",173,1405339213
"watt","meanPerHour",161,1405342853
"watt","meanPerHour",289,1405346421
"watt","meanPerHour",1369,1405350070
"watt","meanPerHour",920,1405353700
"watt","meanPerHour",496,1405357223
"watt","meanPerHour",1550,1405360862
"watt","meanPerHour",426,1405364417
"watt","meanPerHour",271,1405368062
"watt","meanPerHour",1208,1405371600
"watt","meanPerHour",2525,1405375221
"watt","meanPerHour",673,1405378826
"watt","meanPerHour",182,1405382409
"watt","meanPerHour",172,1405386029
"watt","meanPerHour",163,1405389600
"watt","meanPerHour",166,1405393251
"watt","meanPerHour",177,1405396800
"watt","meanPerHour",446,1405400423
"watt","meanPerHour",200,1405404017
"watt","meanPerHour",176,1405407609
"watt","meanPerHour",171,1405411246
"watt","meanPerHour",159,1405414800
"watt","meanPerHour",159,1405418516
"watt","meanPerHour",160,1405422014
"watt","meanPerHour",171,1405425657
"watt","meanPerHour",167,1405429239
"watt","meanPerHour",163,1405432821
"watt","meanPerHour",161,1405436409
"watt","meanPerHour",220,1405440014
"watt","meanPerHour",167,1405443621
"watt","meanPerHour",247,1405447325
"watt","meanPerHour",183,1405450845
"watt","meanPerHour",1729,1405454449
"watt","meanPerHour",1523,1405458014
"watt","meanPerHour",2604,1405461689
"watt","meanPerHour",2470,1405465215
"watt","meanPerHour",1406,1405468900
"watt","meanPerHour",193,1405472470
"watt","meanPerHour",193,1405476035
"watt","meanPerHour",186,1405479630
"watt","meanPerHour",888,1405483266
"watt","meanPerHour",1445,1405486864
